"AP" "PV" "MS" "GJ" "PP" "PC" "W"
"Bayer Leverkusen" 0.407387325752732 0.410087053165903 0.347625168584518 0.151831789984554 -0.393919298579168 0.474341649025257 0.44796520324076
"Bayern de Munique" 2.05792315192543 2.10769491459534 2.16834533649067 2.04396504121627 2.75743509005417 0.474341649025257 3.7190255669915
"Borussia Dortmund" 0.998829330131281 1.00055935279353 1.0882571012921 1.22498199217568 0.393919298579168 0.474341649025257 1.58812279714746
"Borussia Mönchengladbach" 0.159806951826827 0.151755422078815 0.239616345064662 -0.14469655535773 -0.393919298579168 0.474341649025257 0.217077130201017
"Eintracht Frankfurt" -0.336071420297231 -0.631262192644781 -1.10680420651516 0.0543396549113562 -0.393919298579168 -1.89736659610103 -1.21053927667885
"Hamburgo" -1.16062170911133 -1.02918917717644 -0.261853192706099 -1.28844874453511 -0.393919298579168 0.474341649025257 -1.22755964523862
"Hannover 96" -0.981813661275955 -0.84466658354281 -0.72474815064834 -0.92131841220657 -0.393919298579168 0.474341649025257 -0.903391457386345
"Schalke 04" 0.159806951826827 0.225564459532269 -0.701603402751228 0.0388686108065411 -0.393919298579168 0.474341649025257 -0.059176546816526
"VfL Wolfsburg" -0.282169863848306 -0.398258590352107 -0.717547562413683 -0.365288541363683 -0.393919298579168 -1.89736659610103 -1.13724250640018
"Werder Bremen" -1.02307705693027 -0.992284658449718 -0.331287436397436 -0.794234835631306 -0.393919298579168 0.474341649025257 -0.748564095934514
