"AP" "PV" "MS" "GJ" "PP" "PC" "W"
"Bayer Leverkusen" 0.274619086194257 0.356880452123797 0.263895356852867 -0.00448226636480042 -0.444478318492315 0.474341649025257 0.305540238910487
"Bayern de Munique" 1.87950061656938 1.99502023236417 2.0939685397872 1.93607540686655 2.51871047145645 0.474341649025257 3.522083873859
"Borussia Dortmund" 1.09874743963013 1.11744535009254 1.25668015543816 1.34547089762223 1.03711607648207 0.474341649025257 1.84390503610178
"Borussia Mönchengladbach" -0.115757502275367 -0.11115948508774 0.0725151547159436 -0.510714702859936 -0.444478318492315 0.474341649025257 -0.088672313075757
"Eintracht Frankfurt" 0.38034607890478 -0.257421965466345 -1.20883510490393 0.25127057915618 -0.444478318492315 -1.89736659610103 -0.726641376039013
"Hamburgo" -1.2218245029393 -1.04723935951081 -0.549470502229057 -1.03804015754237 -0.444478318492315 0.474341649025257 -1.28972063942454
"Hannover 96" -0.701322384979804 -0.579199422299276 -0.453780401160595 -0.63727281198372 -0.444478318492315 0.474341649025257 -0.559188950505478
"Schalke 04" 0.339681850939194 0.473890436426681 -0.728889441732422 0.375192061006551 -0.444478318492315 0.474341649025257 0.154466909646156
"VfL Wolfsburg" -0.798916532097211 -0.900976879132208 -0.675063759881413 -0.953668084793179 -0.444478318492315 -1.89736659610103 -1.65681718349812
"Werder Bremen" -1.13507414994605 -1.04723935951081 -0.0710199968867488 -0.763830921107504 -0.444478318492315 0.474341649025257 -0.718955708908299
