"AP" "PV" "MS" "GJ" "PP" "PC" "W"
"Bayer Leverkusen" 0.388753215355806 0.403007030608661 0.380490779078652 0.15628690878012 -0.414039335605413 0.474341649025257 0.44638232413417
"Bayern de Munique" 2.06480433928094 2.15270320820956 2.21845471191621 2.12827410993188 2.69125568143518 0.474341649025257 3.63973183750804
"Borussia Dortmund" 0.807765996337089 0.840431075008885 0.989920925230052 1.03471757111136 0.621059003408119 0.474341649025257 1.46141082269592
"Borussia Mönchengladbach" 0.151919904366385 0.111391001008512 0.245061857711674 -0.435309251565407 -0.414039335605413 0.474341649025257 0.129639301759859
"Eintracht Frankfurt" -0.0738049023552395 -0.50029140254302 -1.03183940089126 0.18295901948306 -0.414039335605413 -1.89736659610103 -0.988900087353194
"Hamburgo" -1.34195174956688 -1.15227846059213 -0.52881769295677 -1.38544853939307 -0.414039335605413 0.474341649025257 -1.40508160171065
"Hannover 96" -0.868285127588043 -0.763457087791935 -0.586858659256904 -0.793852379047544 -0.414039335605413 0.474341649025257 -0.767972465065123
"Schalke 04" 0.206573745363943 0.305801687408612 -0.722287580623882 0.120432596031906 -0.414039335605413 0.474341649025257 -0.00251898433544746
"VfL Wolfsburg" -0.21243903561734 -0.342233933925053 -0.812573528201867 -0.30384343815529 -0.414039335605413 -1.89736659610103 -1.15894203420181
"Werder Bremen" -1.12333638557665 -1.05507311739208 -0.151551412005904 -0.70421659717701 -0.414039335605413 0.474341649025257 -0.68901005669575
