"AP" "PV" "MS" "GJ" "PP" "PC" "W"
"Bayer Leverkusen" 0.274705035830709 0.288794163284271 0.267705494486315 0.158765191521136 -0.380319414627832 0.621059003408119 0.405178746760813
"Bayern de Munique" 2.15908258692258 2.20597923637117 2.19969680825899 2.12443913229018 2.78900904060411 0.621059003408119 4.17147214745828
"Borussia Dortmund" 1.04718278969446 1.02371510796758 1.09117720199598 1.25723004077442 0.253546276418555 0.621059003408119 1.50532044132987
"Borussia Mönchengladbach" 0.110846118344459 0.0970756559755802 0.166355130485126 -0.176555657198289 -0.380319414627832 0.621059003408119 0.246094609279147
"Eintracht Frankfurt" -0.376253185266392 -0.622404872011731 -1.11132265462048 -0.207131082885735 -0.380319414627832 -1.44913767461894 -1.16581893175051
"Hamburgo" -1.09468734601867 -0.989329218773665 -0.093355177267923 -1.25189493067782 -0.380319414627832 0.621059003408119 -1.23004206911612
"Hannover 96" -0.923418071739927 -0.808387787319605 -0.658728287694678 -0.830366314281094 -0.380319414627832 -1.44913767461894 -1.45613030046032
"Schalke 04" 0.0874377015607093 0.129028740527029 -0.688788565774913 -0.0262394146688923 -0.380319414627832 0.621059003408119 -0.109965280069277
"VfL Wolfsburg" -0.389179825971147 -0.462954145452764 -0.711989703096191 -0.52480767106931 -0.380319414627832 -1.44913767461894 -1.00259561006962
"Werder Bremen" -0.89571580335679 -0.861516880567871 -0.460750246772236 -0.523439293804591 -0.380319414627832 0.621059003408119 -0.658511127590004
