"AP" "PV" "MS" "GJ" "PP" "PC" "W"
"Bayer Leverkusen" -0.118467339981872 -0.132046094827335 -0.433613462084748 -0.194818544062268 -0.333333333333333 0.166666666666667 -0.280975669977908
"Bayern de Munique" 1.14765235607438 1.22614230911097 1.43800382834227 1.26632053640474 -0.333333333333333 0.166666666666667 1.68423981472021
"Borussia Dortmund" 1.6807553859928 1.56568941009554 1.43800382834227 1.44165722606078 2.66666666666667 0.166666666666667 2.66253448583575
"Borussia Mönchengladbach" 0.281359932456945 0.207501006157241 0.243354494027154 -0.370155233718309 -0.333333333333333 0.166666666666667 0.0439006895182314
"Hamburgo" -1.31794915729832 -1.32046094827335 -0.433613462084748 -1.18839311877983 -0.333333333333333 0.166666666666667 -1.46821269213089
"Hannover 96" -0.518294612420689 -0.641366746304198 -0.55307839551626 -0.837719739467752 -0.333333333333333 0.166666666666667 -0.60399408792652
"Schalke 04" 0.547911447416157 0.716821657634104 -1.38933292953684 1.0909838467487 -0.333333333333333 0.166666666666667 0.116187780866939
"VfL Wolfsburg" -0.7848461273799 -0.811140296796486 -0.911473195810796 -0.837719739467752 -0.333333333333333 0.166666666666667 -1.13720688573952
"Werder Bremen" -0.918121884859506 -0.811140296796486 0.60174929432169 -0.370155233718309 -0.333333333333333 0.166666666666667 -0.29900381813537
